industry,url
Dầu khí,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMDUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJPaWwgJiBHYXMifSwibGFiZWwiOiIwNTAwIn0
Hóa chất,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMTMwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJDaGVtaWNhbHMifSwibGFiZWwiOiIxMzAwIn0
Tài nguyên Cơ bản,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMTcwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJCYXNpYyBSZXNvdXJjZXMifSwibGFiZWwiOiIxNzAwIn0
Xây dựng và Vật liệu,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMjMwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJDb25zdHJ1Y3Rpb24gJiBNYXRlcmlhbHMifSwibGFiZWwiOiIyMzAwIn0
Hàng & Dịch vụ Công nghiệp,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMjcwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJJbmR1c3RyaWFsIEdvb2RzICYgU2VydmljZXMifSwibGFiZWwiOiIyNzAwIn0
Ô tô và phụ tùng,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMzMwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJBdXRvbW9iaWxlcyAmIFBhcnRzIn0sImxhYmVsIjoiMzMwMCJ9
Thực phẩm và đồ uống,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMzUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJGb29kICYgQmV2ZXJhZ2UifSwibGFiZWwiOiIzNTAwIn0
Hàng cá nhân & Gia dụng,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiMzcwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJQZXJzb25hbCAmIEhvdXNlaG9sZCBHb29kcyJ9LCJsYWJlbCI6IjM3MDAifQ
Y tế,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiNDUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJIZWFsdGggQ2FyZSJ9LCJsYWJlbCI6IjQ1MDAifQ
Bán lẻ,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiNTMwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJSZXRhaWwifSwibGFiZWwiOiI1MzAwIn0
Truyền thông,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiNTUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJNZWRpYSJ9LCJsYWJlbCI6IjU1MDAifQ
Du lịch và Giải trí,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiNTcwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJUcmF2ZWwgJiBMZWlzdXJlIn0sImxhYmVsIjoiNTcwMCJ9
Viễn thông,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiNjUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJUZWxlY29tbXVuaWNhdGlvbnMifSwibGFiZWwiOiI2NTAwIn0
Điện nước & xăng dầu khí đốt,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiNzUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJVdGlsaXRpZXMifSwibGFiZWwiOiI3NTAwIn0
Ngân hàng,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiODMwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJCYW5rcyJ9LCJsYWJlbCI6IjgzMDAifQ
Bảo hiểm,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiODUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJJbnN1cmFuY2UifSwibGFiZWwiOiI4NTAwIn0
Bất động sản,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiODYwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJSZWFsIEVzdGF0ZSJ9LCJsYWJlbCI6Ijg2MDAifQ
Dịch vụ tài chính,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiODcwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJGaW5hbmNpYWwgU2VydmljZXMifSwibGFiZWwiOiI4NzAwIn0
Công nghệ Thông tin,https://iboard.ssi.com.vn/?nav=eyJwYXJlbnRLZXlzIjpbInNlY3RvcnMiXSwia2V5IjoiOTUwMCIsImRhdGEiOnsidHlwZSI6InNlY3RvcnMiLCJ0YWJsZVR5cGUiOiJlcXVpdGllcyIsInNlY3Rvck5hbWUiOiJUZWNobm9sb2d5In0sImxhYmVsIjoiOTUwMCJ9
