symbol,company_name,industry_raw,industry
ABB,ABBank (Ngân hàng TMCP An Bình),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
ACB,ACB (Ngân hàng Á Châu),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
BAB,Bac A Bank (Ngân hàng TMCP Bắc Á),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
BID,BIDV (Ngân hàng TMCP Đầu tư và Phát triển Việt Nam),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
BVB,BVBank (Ngân hàng Bản Việt),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
CTG,Vietinbank (Ngân hàng TMCP Công thương Việt Nam),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
EIB,Eximbank (Ngân hàng TMCP Xuất Nhập khẩu Việt Nam),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
HDB,HD bank (Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
KLB,KienlongBank (Ngân hàng Kiên Long),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
LPB,LPBank (Ngân hàng Bưu điện Liên Việt),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
MBB,MB bank (Ngân hàng TMCP Quân đội),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
MSB,MSB (Ngân hàng TMCP Hàng hải Việt Nam),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
NAB,Nam A Bank (Ngân hàng TMCP Nam Á),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
NVB,NCB (Ngân hàng TMCP Quốc dân),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
OCB,OCB (Ngân hàng TMCP Phương Đông),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
PGB,PGbank (Ngân hàng TMCP Xăng Dầu Petrolimex),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
SGB,Saigon Bank (TMCP Sài Gòn Công thương),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
SHB,SHB (Ngân hàng TMCP Sài Gòn - Hà Nội),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
SSB,SeABank (Ngân hàng TMCP Đông Nam Á),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
STB,Sacombank (Ngân hàng TMCP Sài Gòn Thương Tín),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
TCB,Techcombank (Ngân hàng TMCP Kỹ Thương Việt Nam),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
TPB,TPBank (Ngân hàng TMCP Tiên Phong),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
VAB,VietABank (Ngân hàng TMCP Việt Á),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
VBB,Vietbank (Ngân hàng TMCP Việt Nam Thương Tín),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
VCB,Vietcombank (Ngân hàng TMCP Ngoại thương Việt Nam),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
VIB,VIB (Ngân hàng TMCP Việt Nam Thịnh Vượng),1. Nhóm cổ phiếu ngành ngân hàng,ngân hàng
AGR,CTCP chứng khoán Agribank - HOSE,2. Nhóm cổ phiếu chứng khoán,chứng khoán
APG,CTCP Chứng khoán APG,2. Nhóm cổ phiếu chứng khoán,chứng khoán
APS,CTCP Chứng khoán Châu Á Thái Bình Dương - HNX,2. Nhóm cổ phiếu chứng khoán,chứng khoán
ART,CTCP Chứng khoán BOS - HNX,2. Nhóm cổ phiếu chứng khoán,chứng khoán
