symbol,floor
AAA,hose
AAM,hose
AAT,hose
ABR,hose
ABS,hose
ABT,hose
ACB,hose
ACC,hose
ACG,hose
ACL,hose
ADG,hose
ADP,hose
ADS,hose
AGG,hose
AGR,hose
ANV,hose
APG,hose
APH,hose
ASG,hose
ASM,hose
ASP,hose
AST,hose
BAF,hose
BBC,hose
BCE,hose
BCG,hose
BCM,hose
BFC,hose
BHN,hose
BIC,hose
BID,hose
BKG,hose
BMC,hose
BMI,hose
BMP,hose
BRC,hose
BSI,hose
BSR,hose
BTP,hose
BTT,hose
BVH,hose
BWE,hose
C32,hose
C47,hose
CCC,hose
CCI,hose
CCL,hose
CDC,hose
CHP,hose
CIG,hose
CII,hose
CK,hose
CKG,hose
CLC,hose
CLL,hose
CLW,hose
CMG,hose
CMV,hose
CMX,hose
CNG,hose
COM,hose
CRC,hose
CRE,hose
CRV,hose
CSM,hose
CSV,hose
CTD,hose
CTF,hose
CTG,hose
CTI,hose
CTR,hose
CTS,hose
CVT,hose
D2D,hose
DAH,hose
DAT,hose
DBC,hose
DBD,hose
DBT,hose
DC4,hose
DCL,hose
DCM,hose
DGC,hose
DGW,hose
DHA,hose
DHC,hose
DHG,hose
DHM,hose
DIG,hose
DLG,hose
DMC,hose
DPG,hose
DPM,hose
DPR,hose
DQC,hose
DRC,hose
DRH,hose
DRL,hose
DSC,hose
DSE,hose
DSN,hose
DTA,hose
DTL,hose
DTT,hose
DVP,hose
DXG,hose
DXS,hose
DXV,hose
EIB,hose
ELC,hose
EVE,hose
EVF,hose
EVG,hose
FCM,hose
FCN,hose
FDC,hose
FIR,hose
FIT,hose
FMC,hose
FPT,hose
FRT,hose
FTS,hose
GAS,hose
GDT,hose
GEE,hose
GEG,hose
GEX,hose
GIL,hose
GMD,hose
GMH,hose
GSP,hose
GTA,hose
GVR,hose
HAG,hose
HAH,hose
HAP,hose
HAR,hose
HAS,hose
HAX,hose
HCD,hose
HCM,hose
HDB,hose
HDC,hose
HDG,hose
HHP,hose
HHS,hose
HHV,hose
HID,hose
HII,hose
HMC,hose
HNA,hose
HPG,hose
HPX,hose
HQC,hose
HRC,hose
HSG,hose
HSL,hose
HT1,hose
HTG,hose
HTI,hose
HTL,hose
HTN,hose
HTV,hose
HU1,hose
HUB,hose
HVH,hose
HVN,hose
HVX,hose
ICT,hose
IDI,hose
IJC,hose
ILB,hose
IMP,hose
ITC,hose
ITD,hose
JVC,hose
KBC,hose
KDC,hose
KDH,hose
KHG,hose
KHP,hose
KMR,hose
KOS,hose
KSB,hose
L10,hose
LAF,hose
LBM,hose
LCG,hose
LDG,hose
LGC,hose
LGL,hose
LHG,hose
LIX,hose
LM8,hose
LPB,hose
LSS,hose
MBB,hose
MCM,hose
MCP,hose
MDG,hose
MHC,hose
MIG,hose
MSB,hose
MSH,hose
MSN,hose
MWG,hose
NAB,hose
NAF,hose
NAV,hose
NBB,hose
NCT,hose
NHA,hose
NHH,hose
NHT,hose
NKG,hose
NLG,hose
